id_test,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBMAS,POBFEM,VIVTOT
0,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,0010,1,159,73,86,49
1,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,0010,2,145,65,80,42
2,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,0010,3,124,60,64,33
3,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,0010,4,158,75,83,43
4,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,0010,5,154,68,86,45
5,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,0010,6,153,67,86,41
6,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,0010,7,197,91,106,54
7,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,0010,8,107,57,50,34
8,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,0010,9,114,57,57,34
9,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,0010,11,0,0,0,0
