id,Clave,Entidad,Delegación o Municipio,Estación
1,EDL,Distrito Federal,Cuajimalpa,Ex Convento Desierto de los Leones
2,MCM,Distrito Federal,Cuauhtémoc,Museo de la Ciudad de México
3,LAA,Distrito Federal,Gustavo A. Madero,Laboratorio de Análisis Ambienta
4,TEC,Distrito Federal,Gustavo A. Madero,Cerro del Tepeyac
5,SNT,Distrito Federal,Magdalena Contreras,San Nicolás Totolapan
6,IBM,Distrito Federal,Miguel Hidalgo,Legaria
7,LOM,Distrito Federal,Miguel Hidalgo,Lomas
8,MPA,Distrito Federal,Milpa Alta,Milpa Alta
9,DIC,Distrito Federal,Tlalpan,Diconsa
10,EAJ,Distrito Federal,Tlalpan,Ecoguardas Ajusco
11,AJU,Distrito Federal,Tlalpan,Ajusco
12,COR,Distrito Federal,Xochimilco,Corena
13,XAL,Estado de México,Ecatepec,Xalostoc
14,NEZ,Estado de México,Nezahualcóyotl,Nezahualcóyotl
15,MON,Estado de México,Texcoco,Montencillo
16,TLA,Estado de México,Tlalnepantla,Tlalnepantla
