folio,incidente_c4,fecha_creacion,hora_creacion,mes_creacion,año_creacion,fecha_cierre,mes_cierre,año_cierre,hora_cierre,colonia,codigo_cierre,clas_con_f_alarma,delegacion_cierre,manzana,longitud_centroide,latitud_centroide
C5/210101/00016,Disturbio-Disparos,01/01/2021,00:01:53,Enero,2021,01/01/2021,Enero,2021,00:20:04,HEROES DE PADIERNA,Negativo,DELITO,TLALPAN,901000000000000,-99.225382,19.285353
C5/210101/00277,Servicios-Alarma Activada,01/01/2021,00:30:45,Enero,2021,01/01/2021,Enero,2021,00:46:45,HIPODROMO,Negativo,SERVICIO,CUAUHTEMOC,902000000000000,-99.174057,19.406936
C5/210101/00333,Disturbio-Quema de Pirotecnia,01/01/2021,00:37:41,Enero,2021,01/01/2021,Enero,2021,00:51:07,PEDREGAL DE SAN NICOLAS 4TA SECC,Afirmativo,DELITO,TLALPAN,090120001077A005,-99.241664,19.279974
C5/210101/00364,Incendio-Casa Habitación,01/01/2021,00:41:24,Enero,2021,01/01/2021,Enero,2021,03:21:02,PEDREGAL DE SANTO DOMINGO,Afirmativo,EMERGENCIA,COYOACAN,900000000000000,-99.170317,19.323809
C5/210101/00770,Disturbio-Fiestas,01/01/2021,01:21:06,Enero,2021,01/01/2021,Enero,2021,01:54:24,SAN ANDRES TETEPILCO,Negativo,FALTA CÍVICA,IZTAPALAPA,901000000000000,-99.132832,19.368088
C5/210101/00785,Disturbio-Quema de Pirotecnia,01/01/2021,01:23:29,Enero,2021,01/01/2021,Enero,2021,01:36:42,MIGUEL HIDALGO,Negativo,DELITO,TLALPAN,901000000000000,-99.185055,19.284897
C5/210101/01120,Incendio-Arbol,01/01/2021,01:54:23,Enero,2021,01/01/2021,Enero,2021,02:29:23,DESARROLLO URBANO QUETZALCOATL,Afirmativo,EMERGENCIA,IZTAPALAPA,901000000000000,-99.044934,19.327008
C5/210101/01131,Disturbio-Quema de Pirotecnia,01/01/2021,01:51:46,Enero,2021,01/01/2021,Enero,2021,02:24:46,AJUSCO,Negativo,DELITO,COYOACAN,900000000000000,-99.153216,19.319459
C5/210101/01333,Disturbio-Fiestas,01/01/2021,02:11:34,Enero,2021,01/01/2021,Enero,2021,02:25:09,UNIDAD HAB VICENTE GUERRERO,Negativo,FALTA CÍVICA,IZTAPALAPA,901000000000000,-99.061529,19.354583
C5/210101/01923,Disturbio-Quema de Pirotecnia,01/01/2021,03:10:03,Enero,2021,01/01/2021,Enero,2021,03:19:42,TEZOZOMOC,Negativo,DELITO,AZCAPOTZALCO,900000000000000,-99.199589,19.48836
C5/210101/01973,Disturbio-Fiestas,01/01/2021,03:14:44,Enero,2021,01/01/2021,Enero,2021,03:25:52,COPILCO EL ALTO,Duplicado,FALTA CÍVICA,COYOACAN,900000000000000,-99.175247,19.332512
C5/210101/02226,Disturbio-Escándalo,01/01/2021,03:49:40,Enero,2021,01/01/2021,Enero,2021,03:59:35,PARAJE SAN JUAN,Negativo,FALTA CÍVICA,IZTAPALAPA,901000000000000,-99.071706,19.344148
C5/210101/02391,Lesionado-Caída,01/01/2021,04:17:40,Enero,2021,01/01/2021,Enero,2021,04:25:43,BARRIO SANTA APOLONIA,Duplicado,URGENCIAS MEDICAS,AZCAPOTZALCO,900000000000000,-99.191582,19.474646
C5/210101/02758,Disturbio-Escándalo,01/01/2021,05:23:45,Enero,2021,01/01/2021,Enero,2021,06:11:29,LOMAS DE TARANGO,Afirmativo,FALTA CÍVICA,ALVARO OBREGON,901000000000000,-99.221028,19.365042
C5/210101/02773,Médicos-Dolor,01/01/2021,05:25:39,Enero,2021,01/01/2021,Enero,2021,06:37:57,1RO DE MAYO,Afirmativo,URGENCIAS MEDICAS,VENUSTIANO CARRANZA,902000000000000,-99.102826,19.445155
C5/210101/03017,Disturbio-Disparos,01/01/2021,06:09:41,Enero,2021,01/01/2021,Enero,2021,06:15:42,MAGDALENA CULHUACAN,Negativo,DELITO,COYOACAN,900000000000000,-99.115214,19.339663
C5/210101/03018,Médicos-Inconsciente,01/01/2021,06:10:54,Enero,2021,01/01/2021,Enero,2021,07:06:02,PEDREGAL DE SANTO DOMINGO,Negativo,URGENCIAS MEDICAS,COYOACAN,900000000000000,-99.169115,19.325449
C5/210101/03137,Administrativas-Ebrios,01/01/2021,06:30:56,Enero,2021,01/01/2021,Enero,2021,06:51:37,PROVIDENCIA,Negativo,FALTA CÍVICA,GUSTAVO A. MADERO,901000000000000,-99.066229,19.483356
C5/210101/03559,Disturbio-Escándalo,01/01/2021,08:02:06,Enero,2021,01/01/2021,Enero,2021,08:10:58,DOCTORES,Afirmativo,FALTA CÍVICA,CUAUHTEMOC,090150001113A019,-99.148485,19.417705
C5/210101/03595,Lesionado-Caída,01/01/2021,08:09:48,Enero,2021,01/01/2021,Enero,2021,08:32:35,AGRICOLA ORIENTAL,Afirmativo,URGENCIAS MEDICAS,IZTACALCO,901000000000000,-99.0633,19.394103
C5/210101/04287,Médicos-Convulsiones,01/01/2021,10:55:50,Enero,2021,01/01/2021,Enero,2021,13:08:47,ROMA SUR,Afirmativo,URGENCIAS MEDICAS,BENITO JUAREZ,901000000000000,-99.155933,19.402909
C5/210101/04435,Agresión-Persona,01/01/2021,11:29:33,Enero,2021,01/01/2021,Enero,2021,11:44:11,JESUS DEL MONTE,Negativo,DELITO,CUAJIMALPA,900000000000000,-99.291779,19.367883
C5/210101/04486,Incendio-Casa Habitación,01/01/2021,11:40:53,Enero,2021,01/01/2021,Enero,2021,12:22:33,BARRIO DEL NIÑO JESUS,Negativo,EMERGENCIA,COYOACAN,900000000000000,-99.159495,19.340746
C5/210101/05254,Médicos-Inconsciente,01/01/2021,14:06:27,Enero,2021,01/01/2021,Enero,2021,15:28:13,UNIDAD HAB SAN ANTONIO CULHUACAN,Afirmativo,URGENCIAS MEDICAS,IZTAPALAPA,901000000000000,-99.109587,19.338924
C5/210101/05412,Incendio-Arbol,01/01/2021,14:31:36,Enero,2021,01/01/2021,Enero,2021,17:38:09,PUEBLO NATIVITAS,Afirmativo,EMERGENCIA,XOCHIMILCO,901000000000000,-99.090714,19.247076
C5/210101/05482,Lesionado-Caída,01/01/2021,14:43:48,Enero,2021,01/01/2021,Enero,2021,15:07:26,AMPL PILOTO ADOLFO LOPEZ MATEOS,Negativo,URGENCIAS MEDICAS,ALVARO OBREGON,901000000000000,-99.230187,19.36953
C5/210101/05686,Incendio-Lote baldio,01/01/2021,15:19:52,Enero,2021,01/01/2021,Enero,2021,17:28:50,REFORMA POLITICA,Afirmativo,EMERGENCIA,IZTAPALAPA,901000000000000,-99.035756,19.339
C5/210101/05847,Denuncia-Maltrato Animal,01/01/2021,15:45:55,Enero,2021,01/01/2021,Enero,2021,16:26:04,HUITZICO,Negativo,SERVICIO,IZTAPALAPA,090070001426A016,-98.977739,19.331351
C5/210101/05962,Disturbio-Fiestas,01/01/2021,16:04:05,Enero,2021,01/01/2021,Enero,2021,16:46:53,EL RODEO,Negativo,FALTA CÍVICA,IZTACALCO,901000000000000,-99.085219,19.394257
C5/210101/06025,Servicios-Alarma Activada,01/01/2021,16:09:18,Enero,2021,01/01/2021,Enero,2021,17:26:38,LAS ANIMAS,Negativo,SERVICIO,XOCHIMILCO,901000000000000,-99.016439,19.258011
C5/210101/06034,Agresión-Casa Habitación,01/01/2021,16:12:54,Enero,2021,01/01/2021,Enero,2021,17:31:58,COOPERATIVA ALLAPETLALLI,Afirmativo,DELITO,IZTAPALAPA,901000000000000,-99.067758,19.287122
C5/210101/06125,Médicos-Enfermo,01/01/2021,16:27:01,Enero,2021,01/01/2021,Enero,2021,18:36:51,UNIDAD HAB TLATILCO,Afirmativo,URGENCIAS MEDICAS,AZCAPOTZALCO,900000000000000,-99.163996,19.463036
C5/210101/06661,Administrativas-Ebrios,01/01/2021,17:48:06,Enero,2021,01/01/2021,Enero,2021,18:06:48,EL TORO,Negativo,FALTA CÍVICA,MAGDALENA CONTRERAS,901000000000000,-99.247687,19.310567
C5/210101/06731,Disturbio-Fiestas,01/01/2021,18:01:07,Enero,2021,01/01/2021,Enero,2021,18:05:41,SANTA MARIA MANINALCO,Duplicado,FALTA CÍVICA,AZCAPOTZALCO,900000000000000,-99.182979,19.480611
C5/210101/07060,Disturbio-Fiestas,01/01/2021,18:45:27,Enero,2021,01/01/2021,Enero,2021,18:57:39,LA PRADERA 2DA SECC,Negativo,FALTA CÍVICA,GUSTAVO A. MADERO,NA,-99.065752,19.470963
C5/210101/07158,Administrativas-Ebrios,01/01/2021,18:59:33,Enero,2021,01/01/2021,Enero,2021,19:13:09,SAN FRANCISCO CULHUACAN,Negativo,FALTA CÍVICA,COYOACAN,900000000000000,-99.114692,19.337766
C5/210101/07203,Derrame o Fuga-Agua Potable,01/01/2021,19:03:15,Enero,2021,01/01/2021,Enero,2021,19:37:21,CONJ HAB ALIANZA POP REVOLUCIONARIA04800,Negativo,SERVICIO,COYOACAN,090030001136A027,-99.118754,19.315992
C5/210101/07469,Disturbio-Quema de Pirotecnia,01/01/2021,19:32:27,Enero,2021,01/01/2021,Enero,2021,19:54:46,SAN MATEO TLALTENANGO,Negativo,DELITO,CUAJIMALPA,900000000000000,-99.278203,19.340964
C5/210101/08564,Disturbio-Disparos,01/01/2021,21:22:08,Enero,2021,01/01/2021,Enero,2021,21:50:46,VALLE DE LUCES,Negativo,DELITO,IZTAPALAPA,901000000000000,-99.105232,19.343286
C5/210101/08603,Administrativas-Ebrios,01/01/2021,21:25:33,Enero,2021,01/01/2021,Enero,2021,21:31:07,AMPL SAN PEDRO XALPA,Negativo,FALTA CÍVICA,AZCAPOTZALCO,900000000000000,-99.217305,19.480802
C5/210101/08604,Disturbio-Escándalo,01/01/2021,21:23:57,Enero,2021,01/01/2021,Enero,2021,21:43:51,IZTACALCO INFONAVIT,Duplicado,FALTA CÍVICA,IZTACALCO,901000000000000,-99.109444,19.383524
C5/210101/09126,Administrativas-Ebrios,01/01/2021,22:28:28,Enero,2021,01/01/2021,Enero,2021,22:36:48,RICARDO FLORES MAGON,Negativo,FALTA CÍVICA,IZTAPALAPA,901000000000000,-99.098135,19.353227
C5/210101/09719,Agresión-Casa Habitación,01/01/2021,23:55:23,Enero,2021,02/01/2021,Enero,2021,00:11:07,SAN SIMON TICUMAC,Negativo,DELITO,BENITO JUAREZ,901000000000000,-99.141893,19.372677
C5/210102/00045,Disturbio-Disparos,02/01/2021,00:05:54,Enero,2021,02/01/2021,Enero,2021,00:14:41,AVANTE,Negativo,DELITO,COYOACAN,900000000000000,-99.131578,19.330952
C5/210102/00067,Denuncia-Persona Sospechosa,02/01/2021,00:09:08,Enero,2021,02/01/2021,Enero,2021,00:23:19,GARCIMARRERO NORTE,Negativo,SERVICIO,ALVARO OBREGON,090100001053A006,-99.235783,19.368896
C5/210102/00128,Disturbio-Fiestas,02/01/2021,00:21:33,Enero,2021,02/01/2021,Enero,2021,00:32:05,BARRIO GUADALUPE,Negativo,FALTA CÍVICA,IZTAPALAPA,090070001209A023,-99.0724,19.311276
C5/210102/00297,Médicos-Otros,02/01/2021,00:58:22,Enero,2021,02/01/2021,Enero,2021,03:47:58,PEDREGAL DE SAN NICOLAS 3RA SECC,Afirmativo,URGENCIAS MEDICAS,TLALPAN,901000000000000,-99.239056,19.285673
C5/210102/00423,Médicos-Asfixia-Atragantamiento,02/01/2021,01:29:40,Enero,2021,02/01/2021,Enero,2021,03:00:43,PEÑON DE LOS BAÑOS,Afirmativo,URGENCIAS MEDICAS,VENUSTIANO CARRANZA,902000000000000,-99.081283,19.437662
C5/210102/01786,Servicios-Alarma Activada,02/01/2021,10:25:44,Enero,2021,02/01/2021,Enero,2021,10:37:22,SANTA CRUZ ATOYAC,Negativo,SERVICIO,BENITO JUAREZ,901000000000000,-99.163817,19.371346
C5/210102/01945,Cadáver-Muerte Causa Ignorada,02/01/2021,10:59:20,Enero,2021,02/01/2021,Enero,2021,13:38:25,MORELOS,Afirmativo,EMERGENCIA,CUAUHTEMOC,902000000000000,-99.12652,19.446351
C5/210102/02366,Administrativas-Ebrios,02/01/2021,12:22:23,Enero,2021,02/01/2021,Enero,2021,12:43:15,ISIDRO FABELA,Negativo,FALTA CÍVICA,TLALPAN,901000000000000,-99.168202,19.301028
C5/210102/02469,Denuncia-Hechos,02/01/2021,12:42:20,Enero,2021,02/01/2021,Enero,2021,13:00:22,LA LOMA,Negativo,SERVICIO,TLAHUAC,901000000000000,-99.002557,19.245802
C5/210102/03441,Médicos-Inconsciente,02/01/2021,15:23:00,Enero,2021,02/01/2021,Enero,2021,18:12:51,CONGRESO AGRARISTA MEXICANO,Afirmativo,URGENCIAS MEDICAS,IZTAPALAPA,901000000000000,-99.058075,19.32631
C5/210102/03442,Denuncia-Persona Sospechosa,02/01/2021,15:23:41,Enero,2021,02/01/2021,Enero,2021,16:18:47,SAN MIGUEL TEOTONGO (SECC MERCEDES),Negativo,SERVICIO,IZTAPALAPA,901000000000000,-98.98804,19.348646
C5/210102/03595,Servicios-Entrevista Ciudadana,02/01/2021,15:45:11,Enero,2021,02/01/2021,Enero,2021,17:32:04,ESCANDON,Afirmativo,SERVICIO,MIGUEL HIDALGO,902000000000000,-99.173145,19.40124
C5/210102/03707,Incendio-Otros,02/01/2021,16:01:58,Enero,2021,02/01/2021,Enero,2021,16:22:11,PARAJE TETENCO,Negativo,EMERGENCIA,TLALPAN,901000000000000,-99.172737,19.265558
C5/210102/04088,Disturbio-Fiestas,02/01/2021,17:02:18,Enero,2021,02/01/2021,Enero,2021,17:12:41,MAGDALENA PETLACALCO,Negativo,FALTA CÍVICA,TLALPAN,901000000000000,-99.181307,19.232743
C5/210102/04160,Servicios-Entrevista Ciudadana,02/01/2021,17:14:48,Enero,2021,02/01/2021,Enero,2021,17:44:30,SAN MIGUEL AMANTLA,Afirmativo,SERVICIO,AZCAPOTZALCO,900000000000000,-99.200999,19.477025
C5/210102/04335,Administrativas-Ebrios,02/01/2021,17:41:08,Enero,2021,02/01/2021,Enero,2021,18:11:08,DANIEL GARZA,Afirmativo,FALTA CÍVICA,MIGUEL HIDALGO,902000000000000,-99.19683,19.407602
C5/210102/04423,Derrame o Fuga-Cilindro de Gas,02/01/2021,17:55:31,Enero,2021,02/01/2021,Enero,2021,18:31:16,BARRIO CRUZTITLA,Negativo,EMERGENCIA,MILPA ALTA,901000000000000,-99.000167,19.214336
C5/210102/04541,Denuncia-Hechos,02/01/2021,18:14:16,Enero,2021,02/01/2021,Enero,2021,18:31:39,INFONAVIT NATIVITAS,Negativo,SERVICIO,XOCHIMILCO,901000000000000,-99.105353,19.24637
C5/210102/04542,Agresión-Persona,02/01/2021,18:15:35,Enero,2021,02/01/2021,Enero,2021,18:33:14,ACACIAS,Negativo,DELITO,BENITO JUAREZ,901000000000000,-99.173907,19.364109
C5/210102/04826,Agresión-Persona,02/01/2021,18:56:19,Enero,2021,02/01/2021,Enero,2021,19:05:54,JACARANDAS,Duplicado,DELITO,IZTAPALAPA,901000000000000,-99.049659,19.346049
C5/210102/05377,Servicios-Entrevista Ciudadana,02/01/2021,20:17:31,Enero,2021,02/01/2021,Enero,2021,20:44:12,POPULAR RASTRO,Afirmativo,SERVICIO,VENUSTIANO CARRANZA,902000000000000,-99.119422,19.451554
C5/210102/05402,Disturbio-Escándalo,02/01/2021,20:21:28,Enero,2021,02/01/2021,Enero,2021,20:40:36,RINCON DE LA BOLSA,Negativo,FALTA CÍVICA,ALVARO OBREGON,901000000000000,-99.25287,19.330994
C5/210102/05417,Lesionado-Caída,02/01/2021,20:21:45,Enero,2021,02/01/2021,Enero,2021,21:46:54,ZONA RUSTICA,Afirmativo,URGENCIAS MEDICAS,TLAHUAC,090110001154A006,-99.04635,19.313881
C5/210102/05510,Disturbio-Fiestas,02/01/2021,20:33:01,Enero,2021,02/01/2021,Enero,2021,20:39:30,MIGUEL HIDALGO 1A. SECCION,Negativo,FALTA CÍVICA,TLALPAN,901000000000000,-99.191632,19.285811
C5/210102/05814,Lesionado-Por Objeto Contuso,02/01/2021,21:13:42,Enero,2021,02/01/2021,Enero,2021,21:26:32,SAN JUAN TEPEPAN,Duplicado,URGENCIAS MEDICAS,XOCHIMILCO,090130001107A004,-99.128662,19.27117
C5/210102/05907,Disturbio-Escándalo,02/01/2021,21:25:46,Enero,2021,02/01/2021,Enero,2021,21:36:56,CHINAMPAC DE JUAREZ,Negativo,FALTA CÍVICA,IZTAPALAPA,NA,-99.052805,19.37503
C5/210102/06693,Médicos-Enfermo,02/01/2021,22:40:01,Enero,2021,02/01/2021,Enero,2021,23:50:55,LOMAS DE PLATEROS,Afirmativo,URGENCIAS MEDICAS,ALVARO OBREGON,901000000000000,-99.20646,19.367197
