id,mes,dia,average
10,1,31,108
3,2,3,141
6,2,26,483
16,1,15,140
14,1,29,272
2,2,25,109
13,1,26,88
2,1,15,180
8,2,8,147
13,1,3,112
1,2,13,452
16,2,2,115
6,2,1,223
7,1,4,306
4,2,16,163
2,2,18,136
6,2,14,379
14,1,5,163
8,2,28,319
15,1,22,224
11,1,7,115
6,1,3,346
13,2,26,107
12,1,20,24
12,1,1,57
9,9,9,1
9,2,22,477
13,1,11,76
12,1,30,56
15,1,28,176
11,2,18,127
3,2,2,149
3,2,12,209
10,2,20,148
3,1,3,182
16,2,9,73
6,2,4,281
9,1,4,459
6,9,22,1
7,1,26,315
13,2,6,139
8,1,11,112
6,12,24,1
13,1,5,87
10,2,8,79
9,8,21,1
15,1,29,231
7,2,28,742
11,1,22,206
4,12,30,1
9,1,15,677
10,1,7,56
15,9,30,1
1,1,7,190
14,1,26,170
5,1,14,40
7,2,17,277
9,2,12,517
4,1,18,162
7,1,15,498
4,2,23,181
15,2,11,157
7,1,10,712
13,2,24,83
16,2,20,195
3,1,17,234
6,2,11,242
14,2,6,458
13,1,12,86
14,1,11,160
11,2,20,234
7,2,25,343
10,2,16,77
10,2,19,139
15,2,28,356
4,2,20,425
5,1,4,21
12,1,7,23
13,1,28,73
7,1,9,624
16,9,14,1
3,1,14,178
1,1,19,215
2,2,10,113
12,2,3,19
10,1,14,55
2,2,28,276
7,1,12,321
12,2,9,18
15,2,1,184
6,1,2,291
4,2,8,227
8,2,22,226
11,1,8,134
15,1,10,324
9,2,11,408
5,2,19,69
7,2,1,324
6,12,27,2
14,2,23,232
7,2,12,396
13,1,24,146
14,2,18,373
9,1,8,647
2,2,7,263
5,2,28,90
14,2,2,442
3,1,5,124
11,1,10,185
9,1,9,855
12,1,26,15
8,2,7,326
10,2,11,54
4,2,10,141
3,1,23,247
8,1,3,158
15,1,14,231
15,2,2,270
10,1,15,50
5,2,6,71
16,1,29,137
11,1,30,212
1,2,17,195
7,2,22,414
14,2,26,244
12,1,14,18
14,1,10,319
10,1,28,51
11,1,3,113
7,1,31,830
16,1,24,185
3,1,26,160
14,1,25,141
7,1,24,739
5,1,13,41
4,1,5,228
7,12,4,1
13,2,17,75
2,1,26,108
9,1,16,881
9,2,5,639
9,2,21,1051
15,1,17,261
11,1,27,126
2,2,2,96
3,2,15,144
5,2,10,54
15,1,7,135
4,1,16,342
10,2,28,178
4,1,10,313
6,1,21,361
10,2,26,86
4,2,6,417
14,2,15,295
4,2,1,188
4,1,11,176
15,2,18,168
12,2,23,28
3,1,8,220
5,2,26,56
4,1,2,249
7,2,13,616
14,1,6,204
6,1,20,251
2,1,2,202
15,11,27,1
14,2,1,189
8,1,15,177
8,9,26,1
5,2,5,48
5,1,27,35
1,2,4,197
5,2,18,48
6,2,12,365
7,2,26,430
6,2,21,549
16,1,25,110
3,1,2,128
9,1,27,407
5,2,11,34
10,1,9,141
11,2,3,134
5,1,22,57
5,2,2,31
1,2,8,328
2,2,13,232
8,1,23,306
6,1,12,293
7,1,27,319
2,10,25,1
4,2,25,180
13,1,13,77
6,1,23,586
9,2,10,431
15,1,6,152
8,2,23,118
12,1,25,19
8,1,25,159
8,1,19,132
15,1,15,229
9,4,12,1
15,8,26,1
10,1,10,95
8,2,10,134
9,2,23,408
7,12,20,1
1,1,16,421
11,1,14,132
3,1,12,161
11,1,15,191
