id,mes,dia,average
2,2,28,276
9,4,20,1
6,5,1,1
6,7,17,1
9,7,21,1
15,7,29,1
8,8,29,1
9,9,10,1
2,10,25,1
7,12,4,1
16,12,31,9
6,1,1,448
2,1,2,202
13,1,2,123
13,1,3,112
2,1,3,170
5,1,4,21
15,1,5,154
9,1,5,455
11,1,6,111
8,1,7,115
11,1,8,134
3,1,10,197
14,1,10,319
3,1,11,177
6,1,12,293
12,1,12,37
16,1,13,133
5,1,13,41
1,1,14,177
12,1,14,18
15,1,15,229
1,1,16,421
8,1,17,250
4,1,18,162
10,1,19,51
6,1,21,361
2,1,22,241
13,1,22,96
5,1,23,109
8,1,24,254
14,1,25,141
3,1,28,168
12,1,29,24
9,1,30,1125
10,2,1,63
6,2,2,269
6,2,3,243
8,2,5,196
4,2,6,417
15,2,6,355
1,2,7,436
13,2,10,77
13,2,11,60
16,2,12,113
5,2,12,66
16,2,14,158
8,2,15,138
11,2,16,93
1,2,17,195
7,2,17,277
3,2,18,160
3,2,19,220
6,2,20,485
5,2,21,87
10,2,21,186
6,2,22,243
12,2,22,23
7,2,24,293
1,2,24,185
7,2,25,343
10,2,26,86
6,2,27,584
13,2,28,166
1,2,25,304
7,9,16,1
14,11,8,1
15,12,3,1
9,12,20,3
9,12,27,2
6,12,28,1
4,12,31,5
5,12,31,1
11,1,1,275
12,1,1,57
10,1,4,54
11,1,4,150
5,1,6,27
5,1,8,57
6,1,8,325
1,1,9,355
2,1,9,257
13,1,9,140
8,1,10,238
9,1,10,954
14,1,11,160
1,1,12,178
9,1,15,677
12,1,16,32
3,1,17,234
16,1,18,83
15,1,18,146
4,1,19,208
7,1,20,267
12,1,21,21
16,1,23,362
3,1,24,225
8,1,25,159
11,1,26,118
12,1,26,15
7,1,27,319
14,1,28,156
1,1,29,264
15,1,30,405
2,1,31,221
13,1,31,127
16,2,1,116
5,2,1,35
12,2,2,27
1,2,3,228
15,2,4,194
4,2,4,161
2,2,5,227
12,2,7,59
10,2,8,79
6,2,9,308
2,2,10,113
7,2,11,298
9,2,13,850
5,2,14,62
2,2,15,123
16,2,16,119
5,2,16,63
13,2,17,75
12,2,17,19
8,2,18,149
9,2,18,444
14,2,19,227
11,2,20,234
12,2,20,31
16,2,21,195
9,2,23,408
13,2,24,83
12,2,24,20
4,2,26,291
15,2,26,276
16,2,26,149
5,2,26,56
11,2,27,258
12,2,27,35
7,2,28,742
8,2,28,319
6,7,22,1
3,11,18,1
9,12,2,1
7,12,19,1
9,12,21,1
9,12,22,1
7,12,26,2
11,12,31,2
1,1,1,516
8,1,2,178
8,1,3,158
14,1,5,163
10,1,5,57
6,1,6,289
10,1,6,73
3,1,7,135
16,1,8,111
12,1,9,29
11,1,12,123
4,1,13,193
6,1,16,489
2,1,17,272
13,1,17,106
9,1,18,473
15,1,19,157
1,1,20,199
8,1,22,183
10,1,23,113
9,1,24,1071
9,1,25,486
13,1,25,77
1,1,26,156
8,1,27,95
4,1,28,172
11,1,29,177
14,1,30,387
10,1,30,143
1,2,2,189
7,2,3,294
7,2,5,448
3,2,5,204
10,2,6,183
2,2,7,263
9,2,8,512
16,2,9,73
5,2,9,41
12,2,10,27
4,2,12,223
15,2,12,242
13,2,15,82
10,2,16,77
6,2,17,260
2,2,18,136
8,2,19,184
3,2,23,145
2,2,24,106
2,2,25,109
1,2,27,529
11,2,9,107
8,5,14,1
15,7,6,1
10,7,20,1
14,9,3,1
9,9,7,1
15,10,18,1
15,11,4,1
6,12,7,1
15,12,20,1
6,12,24,1
9,12,26,1
9,12,31,29
1,1,3,275
3,1,3,182
16,1,4,123
3,1,5,124
14,1,7,167
7,1,9,624
9,1,11,428
11,1,13,125
7,1,14,333
4,1,15,322
15,1,17,261
11,1,18,92
14,1,20,190
12,1,20,24
1,1,21,244
14,1,24,334
2,1,25,103
6,1,26,271
13,1,27,75
2,1,27,111
9,1,28,443
6,1,29,379
3,1,30,257
8,1,31,294
12,2,3,19
9,2,4,495
14,2,5,257
3,2,6,285
7,2,7,731
15,2,8,219
4,2,8,227
14,2,10,155
7,2,10,277
