predictedValue,RealValue,ErrorPercent
'162.55206278405979','175','7.113106980537265'
'164.887143344182','291','43.33775142811616'
'164.96339639710158','146','12.988627669247654'
'161.41092142011658','153','5.497334261514104'
'169.87706334564265','113','50.33368437667492'
'161.41092142011658','436','62.979146463276024'
'163.88819927376332','25','555.5527970950533'
'162.03447848179292','92','76.1244331323836'
'168.3030576058536','409','58.850108164827965'
'165.4670835748465','287','42.34596391120331'
'169.87706334564265','123','38.11143361434362'
'167.08553004884706','29','476.1570001684381'
'164.5856242145441','235','29.963564164023783'
'167.08553004884706','51','227.61868637028834'
'166.8354688010068','176','5.207119999427948'
'160.17329838437163','261','38.63092015924459'
'162.31251419000947','156','4.046483455134274'
'170.2250502645986','74','130.033851708917'
'161.22499152511827','298','45.89765385063146'
'170.4412157934956','170','0.25953870205622775'
'162.91775816754676','27','503.39910432424733'
'165.4670835748465','211','21.579581244148578'
'167.693959328279','138','21.517361832086227'
'123.03985286396662','1','12203.98528639666'
'170.4412157934956','233','26.849263607941808'
'163.02576472047048','850','80.82049826817995'
'166.8354688010068','118','41.38599050932781'
'168.8882376182687','174','2.9377944722593656'
'162.31251419000947','298','45.532713359057226'
'161.79999946227323','164','1.3414637425163205'
'121.97011633202882','2','5998.505816601441'
'162.03447848179292','27','500.1276980807145'
'164.44651182715904','161','2.140690575875182'
'162.91775816754676','129','26.292835788795944'
'169.87706334564265','481','64.6825232129641'
'166.15524286893526','261','36.338987406538216'
'164.9656765661104','294','43.88922565778557'
'168.8882376182687','21','704.2297029441368'
'166.8354688010068','108','54.47728592685815'
'161.41092142011658','341','52.66541893838224'
'168.3030576058536','272','38.12387588020088'
'161.15539318524617','852','81.08504774821054'
'168.8882376182687','115','46.859337059364094'
'160.50862131532728','228','29.601481879242424'
'167.693959328279','125','34.15516746262319'
'164.9656765661104','469','64.82608175562677'
'162.31251419000947','135','20.231491992599604'
'169.0083974264366','186','9.135270200840537'
'169.42230322885382','73','132.08534688884086'
'165.4670835748465','160','3.4169272342790618'
'125.73006894961152','6','1995.501149160192'
'159.77578989289347','77','107.50102583492658'
'165.4441274213454','123','34.507420667760485'
'162.91775816754676','30','443.05919389182253'
'159.77578989289347','35','356.50225683683846'
'163.93938440381655','82','99.92607854123969'
'164.9656765661104','221','25.35489748139801'
'147.6521653149358','1','14665.21653149358'
'169.65037622932337','169','0.3848380055167873'
'162.14225443597863','61','165.80697448521087'
'166.8354688010068','166','0.5032944584378384'
'164.44651182715904','120','37.03875985596587'
'170.39903402259802','254','32.91376613283543'
'164.5856242145441','158','4.168116591483615'
'166.56201651600554','172','3.1616183046479405'
'163.02576472047048','404','59.647087940477604'
'160.17329838437163','269','40.456022905438054'
'122.24237957299368','1','12124.237957299369'
'122.57105200121472','1','12157.105200121472'
'166.56201651600554','81','105.63211915556239'
'161.79999946227323','41','294.6341450299347'
'162.6419891174587','77','111.2233624902061'
'170.1152756339678','103','65.16046178055126'
'123.21563845066407','1','12221.563845066408'
'161.15539318524617','177','8.951755262572785'
'166.89598427117448','114','46.39998620278464'
'165.4670835748465','87','90.19205008603046'
'139.76244780618464','1','13876.244780618465'
'166.1563051093713','223','25.490446139295386'
'162.55206278405979','123','32.156148604926656'
'170.39903402259802','34','401.17362947822943'
'166.8354688010068','243','31.343428476951928'
'169.65037622932337','195','12.999807061885452'
'166.80776595203886','20','734.0388297601943'
'170.1152756339678','161','5.661661884452048'
'166.80776595203886','131','27.334172482472415'
'142.7802801041214','1','14178.028010412141'
'166.80776595203886','293','43.069021859372405'
'164.96339639710158','195','15.403386463024832'
'169.42230322885382','204','16.94985135840499'
'164.44651182715904','420','60.846068612581185'
'164.887143344182','166','0.67039557579398'
'166.80776595203886','106','57.36581693588572'
'166.15524286893526','484','65.67040436592247'
'139.06244047810793','1','13806.244047810793'
'164.44651182715904','193','14.794553457430549'
'166.33194883884843','337','50.64333862348711'
'166.64089721283898','147','13.36115456655713'
'160.50862131532728','142','13.034240362906532'
'159.77578989289347','119','34.26536965789367'
'163.57024501504654','370','55.79182567160904'
'164.22190043253119','266','38.26244344641685'
'164.99066563612436','146','13.007305230222165'
'161.6786713279437','178','9.169285770818144'
'165.94796206377939','124','33.829001664338215'
'165.93208677617685','387','57.123491789101585'
'162.55206278405979','202','19.528681790069413'
'166.8354688010068','373','55.27199227855045'
'162.14225443597863','238','31.873002337824108'
'166.89598427117448','279','40.180650798862196'
'160.50862131532728','243','33.94706941756079'
'161.5971060989497','135','19.701560073296072'
'163.46108587859777','244','33.00775168909927'
'161.5971060989497','119','35.79588747810899'
'170.39903402259802','490','65.22468693416367'
'166.56201651600554','157','6.090456379621364'
'166.1563051093713','166','0.0941597044405353'
'163.57024501504654','189','13.454896817435694'
'160.78831717681257','51','215.2712101506129'
'163.25214006465512','114','43.20363163566239'
'129.94592085793786','1','12894.592085793787'
'165.4670835748465','162','2.140175046201542'
'167.693959328279','303','44.655458967564684'
'166.33194883884843','148','12.386451918140832'
'170.39903402259802','480','64.50020124529208'
'166.15524286893526','460','63.879295028492336'
'134.70042456433688','1','13370.042456433688'
'152.84133611000058','1','15184.133611000057'
'161.15539318524617','316','49.001457852770194'
'164.9656765661104','37','345.8531799084065'
'169.65037622932337','271','37.39838515523123'
'169.87706334564265','92','84.64898189743766'
'170.50448162037128','814','79.05350348644087'
'166.89598427117448','72','131.799978154409'
'170.39903402259802','65','162.1523600347662'
'159.77578989289347','63','153.61236490935474'
'124.7580096915381','1','12375.80096915381'
'123.61027936387183','1','12261.027936387183'
'125.73006894961152','29','333.5519618952121'
'164.96339639710158','169','2.38852284195173'
'161.22499152511827','309','47.82362733814943'
'167.693959328279','321','47.75889117499097'
'125.73006894961152','8','1471.625861870144'
'168.8882376182687','292','42.16156245949702'
'162.55206278405979','196','17.065274089765413'
'161.15539318524617','156','3.3047392213116464'
'170.4412157934956','183','6.8627236101117015'
'166.49835738674068','333','50.00049327725505'
'128.79497226709915','1','12779.497226709915'
'166.8354688010068','146','14.270869041785486'
'170.4412157934956','706','75.85818473179951'
'170.39903402259802','277','38.48410324093934'
'134.60389439520995','1','13360.389439520995'
'170.2250502645986','127','34.035472649290234'
'164.44651182715904','120','37.03875985596587'
'170.2250502645986','580','70.65085340265541'
'170.4412157934956','96','77.54293311822457'
'161.22499152511827','285','43.42982753504622'
'167.693959328279','632','73.46614567590522'
'165.94796206377939','285','41.77264488990197'
'167.24177107043033','379','55.87288362257775'
'163.02576472047048','298','45.29336754346628'
'165.94796206377939','72','130.48328064413803'
'164.96339639710158','19','768.2284020900082'
'162.55206278405979','150','8.368041856039858'
'162.03447848179292','115','40.89954650590688'
'159.77578989289347','12','1231.4649157741123'
'166.80776595203886','114','46.32260171231479'
'142.63551752319032','1','14163.551752319032'
'165.93208677617685','85','95.21421973667864'
'163.46108587859777','158','3.456383467466944'
'168.199999695254','172','2.2093025027592983'
'167.693959328279','489','65.70675678358303'
'164.96339639710158','409','59.666651247652425'
'161.5971060989497','36','348.8808502748602'
'159.77578989289347','145','10.190199926133428'
'161.5971060989497','322','49.814563323307546'
'170.4412157934956','77','121.35222830324102'
'160.50862131532728','156','2.8901418687995353'
'166.49835738674068','263','36.692639776904684'
'162.03447848179292','143','13.3108241131419'
'169.0083974264366','75','125.34452990191546'
'165.5946404355022','313','47.09436407811431'
'167.693959328279','276','39.24131908395689'
'166.56201651600554','304','45.209862988156075'
'163.02576472047048','138','18.134612116282955'
'162.55206278405979','172','5.492986753453613'
'161.6786713279437','133','21.562910772890003'
'166.80776595203886','251','33.54272272827137'
'133.48778592948864','1','13248.778592948864'
'170.39903402259802','225','24.267095989956434'
'166.8354688010068','103','61.97618330194836'
'164.96339639710158','133','24.032628870001187'
'164.44651182715904','145','13.411387467006236'
'165.5946404355022','35','373.1275441014349'
'144.72313275008435','1','14372.313275008435'
'160.78831717681257','14','1048.4879798343754'
'165.5946404355022','97','70.71612416031155'
'166.33194883884843','282','41.01703941884807'
'162.55206278405979','183','11.173736183573887'
'130.89124671068532','1','12989.124671068532'
'150.10818599450457','1','14910.818599450457'
'166.56201651600554','22','657.1000750727525'
